timestamp,ram,usage
1639591273.5180743,389431296,47.5
1639591273.7196965,389431296,34.2
1639591273.921321,389509120,34.1
1639591274.1230052,390139904,48.1
1639591274.3246455,390139904,50.0
1639591274.5262423,390139904,50.0
1639591274.7277136,390139904,40.0
1639591274.9293375,390139904,29.6
1639591275.130665,390139904,26.8
1639591275.332062,390397952,29.1
1639591275.5334892,390397952,30.0
1639591275.7349594,390656000,27.5
1639591275.9364402,390656000,27.5
1639591276.1379747,390656000,44.4
1639591276.339735,390656000,46.8
1639591276.5414932,390656000,48.8
1639591276.7432222,390656000,50.0
1639591276.9448988,390647808,48.1
1639591277.146528,390905856,50.0
1639591277.3480706,390905856,45.7
1639591277.5498345,390905856,43.7
1639591277.7514591,390905856,27.2
1639591277.9530585,392196096,25.0
1639591278.1546936,392196096,29.1
1639591278.3563464,392196096,29.6
1639591278.558019,392196096,45.7
1639591278.7597313,392196096,48.8
1639591278.9613254,392441856,51.9
1639591279.162952,379125760,70.7
1639591279.3644629,379179008,70.1
1639591279.5658486,381775872,34.2
1639591279.7675927,339668992,26.3
1639591279.969056,72654848,33.7
1639591280.170707,74739712,25.9
1639591280.3722274,78651392,28.4
1639591280.573843,80216064,37.8
1639591280.7754612,85127168,29.1
1639591280.97706,90804224,50.0
1639591281.1785305,95191040,56.2
1639591281.380536,102674432,52.5
1639591281.5820642,104738816,45.2
1639591281.7837067,77926400,24.1
1639591281.9853287,79634432,38.8
1639591282.186753,82489344,26.3
1639591282.388683,87658496,48.1
1639591282.5905893,94109696,50.6
1639591282.7923265,98754560,64.6
1639591282.9940865,104677376,40.7
1639591283.1956704,109838336,45.0
1639591283.3971832,111128576,26.2
1639591283.5992084,113709056,48.8
1639591283.8007953,114483200,28.4
1639591284.0023458,116805632,25.0
1639591284.203898,119377920,27.5
1639591284.4054177,119894016,36.3
1639591284.607034,121700352,29.6
1639591284.8086114,122474496,40.0
1639591285.0103102,122732544,25.0
1639591285.2119038,125054976,26.8
1639591285.4134278,125571072,35.0
1639591285.6149533,126861312,26.6
1639591285.816449,127377408,25.0
1639591286.018041,134086656,25.0
1639591286.2196603,134860800,24.7
1639591286.4214654,135634944,36.6
1639591286.6231992,135892992,34.1
